decile,income_value,year_month,income_frequency,geo_name,source_note,income_expanded_flag
1,10000.0,2020-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
2,17132.0,2020-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
3,21375.0,2020-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
4,24981.0,2020-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
5,28813.0,2020-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
6,33257.0,2020-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
7,38295.0,2020-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
8,44682.0,2020-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
9,54432.0,2020-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
10,102723.0,2020-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
1,9164.0,2021-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
2,17229.0,2021-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
3,21406.0,2021-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
4,25350.0,2021-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
5,29406.0,2021-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
6,33601.0,2021-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
7,38693.0,2021-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
8,45109.0,2021-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
9,54969.0,2021-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
10,101294.0,2021-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
1,9570.0,2022-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
2,17347.0,2022-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
3,21793.0,2022-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
4,25932.0,2022-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
5,30158.0,2022-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
6,34863.0,2022-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
7,40171.0,2022-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
8,47003.0,2022-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
9,57803.0,2022-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
10,109511.0,2022-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
1,10792.0,2023-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
2,19172.0,2023-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
3,23974.0,2023-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
4,28055.0,2023-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
5,32295.0,2023-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
6,36809.0,2023-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
7,42600.0,2023-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
8,49688.0,2023-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
9,60445.0,2023-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
10,105293.0,2023-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
1,10725.0,2024-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
2,19647.0,2024-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
3,25009.0,2024-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
4,29627.0,2024-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
5,34244.0,2024-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
6,39270.0,2024-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
7,44887.0,2024-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
8,52196.0,2024-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
9,63025.0,2024-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
10,108205.0,2024-03,annual,UK,Equivalised disposable income by decile; nominal current prices as published by ONS,False
