year_month,unemployment_rate,geo_name,source_note
2021-02,4.9,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2021-03,4.8,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2021-04,4.8,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2021-05,4.7,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2021-06,4.6,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2021-07,4.5,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2021-08,4.4,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2021-09,4.3,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2021-10,4.2,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2021-11,4.2,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2021-12,4.1,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2022-01,3.9,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2022-02,3.8,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2022-03,3.8,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2022-04,3.7,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2022-05,3.8,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2022-06,3.6,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2022-07,3.6,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2022-08,3.7,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2022-09,3.8,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2022-10,3.9,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2022-11,3.9,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2022-12,3.9,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2023-01,4.0,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2023-02,4.0,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2023-03,3.9,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2023-04,4.0,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2023-05,4.2,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2023-06,4.3,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2023-07,4.3,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2023-08,4.1,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2023-09,4.0,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2023-10,4.0,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2023-11,3.9,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2023-12,4.1,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2024-01,4.2,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2024-02,4.3,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2024-03,4.4,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2024-04,4.4,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2024-05,4.2,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2024-06,4.2,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2024-07,4.1,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2024-08,4.3,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2024-09,4.3,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2024-10,4.4,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2024-11,4.4,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2024-12,4.4,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2025-01,4.4,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2025-02,4.5,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2025-03,4.6,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2025-04,4.7,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2025-05,4.7,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2025-06,4.7,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2025-07,4.8,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2025-08,5.0,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2025-09,5.1,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2025-10,5.1,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2025-11,5.2,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2025-12,5.2,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
2026-01,4.9,UK,"ONS unemployment rate, aged 16 and over, seasonally adjusted"
