month,search_term,headline_count,avg_vader_compound,negative_count,neutral_count,positive_count
2026-03,"""energy bills""",5,0.34909999999999997,0,0,5
2026-03,"""food prices""",1,-0.5994,1,0,0
2026-03,"""interest rates""",2,0.10439999999999999,1,0,1
2026-03,cost of living,2,0.0,0,2,0
2026-03,inflation,3,-0.4233,2,1,0
2026-03,mortgage,1,0.0,0,1,0
2026-03,rent,3,-0.06616666666666667,1,0,2
2026-03,unemployment,1,-0.4404,1,0,0
2026-03,wages,6,-0.3188666666666667,4,1,1
2026-04,"""energy bills""",2,0.42955,0,0,2
2026-04,"""food prices""",3,-0.10206666666666668,2,1,0
2026-04,"""house prices""",2,-0.38915,1,1,0
2026-04,"""interest rates""",1,0.4588,0,0,1
2026-04,cost of living,5,-0.24325999999999998,3,2,0
2026-04,inflation,1,0.0,0,1,0
2026-04,mortgage,2,-0.6287499999999999,2,0,0
2026-04,rent,4,0.005924999999999986,1,2,1
2026-04,unemployment,1,-0.5106,1,0,0
2026-04,wages,5,-0.07665999999999999,3,2,0
